Date,Time,Exercise,Set,Weight,Reps,Note
04.04.22,14:57:36,Pulley Machine Row (seated),1,32,16,Let shoulders come all the way forward.
04.04.22,14:57:37,Pulley Machine Row (seated),2,32,5,
04.04.22,14:57:38,Pulley Machine Row (seated),3,39,8,
04.04.22,14:57:39,Pulley Machine Row (seated),4,39,12,
04.04.22,14:57:40,Pull-ups| Overhand Medium Grip,1,0,4,"1.wide
2. normal
3. reverse close"
04.04.22,14:57:41,Supported Machine Pull-ups| Underhand Medium Grip,1,25,7,
04.04.22,14:57:42,Supported Machine Pull-ups| Underhand Medium Grip,2,25,6,
04.04.22,14:57:43,Pulley Machine Face Pulls (standing),1,18,12,"down to up (slightly, not too much)
shoulders rotate out
pull towards forehead
thumbs facing you
knuckles facing up"
04.04.22,14:57:44,Pulley Machine Face Pulls (standing),2,23,12,
04.04.22,14:57:45,Pulley Machine Face Pulls (standing),3,27,12,
04.04.22,14:57:46,Dumbbell Shrugs (standing),1,7,12,
04.04.22,14:57:47,Dumbbell Shrugs (standing),2,10,12,
04.04.22,14:57:48,Dumbbell Shrugs (standing),3,10,12,
04.04.22,14:57:49,Dumbbell Shrugs (standing),4,9,20,
04.04.22,14:57:50,Reverse Barbell Forearm Curl (standing),1,15,12,
04.04.22,14:57:51,Reverse Barbell Forearm Curl (standing),2,15,10,
04.04.22,14:57:52,Reverse Barbell Forearm Curl (standing),3,15,12,
04.04.22,14:57:53,Barbell Biceps Curl (standing),1,15,12,
04.04.22,14:57:54,Barbell Biceps Curl (standing),2,15,10,
04.04.22,14:57:55,Barbell Biceps Curl (standing),3,15,10,
02.04.22,21:29:38,Barbell Flat Bench Press,1,20,12,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat."
02.04.22,21:29:39,Barbell Flat Bench Press,2,30,8,
02.04.22,21:29:40,Barbell Flat Bench Press,3,40,8,
02.04.22,21:29:41,Barbell Flat Bench Press,4,45,8,
02.04.22,21:29:42,Barbell Flat Bench Press,5,45,8,
02.04.22,21:29:43,Barbell Flat Bench Press,6,45,8,
02.04.22,21:29:44,Barbell Shoulder Press (standing),1,20,12,
02.04.22,21:29:45,Barbell Shoulder Press (standing),2,20,10,
02.04.22,21:29:46,Barbell Shoulder Press (standing),3,20,8,
02.04.22,21:29:47,Pulley Machine Triceps Press (standing),1,14,12,
02.04.22,21:29:48,Pulley Machine Triceps Press (standing),2,14,12,
02.04.22,21:29:49,Pulley Machine Triceps Press (standing),3,14,12,
02.04.22,21:29:50,Dumbbell Lateral Raise (standing),1,4,15,
02.04.22,21:29:51,Dumbbell Lateral Raise (standing),2,5,12,
02.04.22,21:29:52,Dumbbell Lateral Raise (standing),3,5,10,
28.03.22,15:59:39,Barbell Flat Bench Press,1,20,12,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat."
28.03.22,15:59:40,Barbell Flat Bench Press,2,30,8,
28.03.22,15:59:41,Barbell Flat Bench Press,3,40,8,
28.03.22,15:59:42,Barbell Flat Bench Press,4,40,8,
28.03.22,15:59:43,Barbell Flat Bench Press,5,40,8,
28.03.22,15:59:44,Barbell Flat Bench Press,6,45,8,
28.03.22,15:59:45,Machine Shoulder Press (seated),1,32,12,
28.03.22,15:59:46,Machine Shoulder Press (seated),2,32,8,
28.03.22,15:59:47,Machine Shoulder Press (seated),3,23,12,
28.03.22,15:59:48,Supported Machine Dips,1,0,5,
28.03.22,15:59:49,Supported Machine Dips,2,0,5,
28.03.22,15:59:50,Supported Machine Dips,3,0,4,
28.03.22,15:59:51,Pulley Machine Triceps Press (standing),1,14,12,
28.03.22,15:59:52,Pulley Machine Triceps Press (standing),2,14,12,
28.03.22,15:59:53,Pulley Machine Triceps Press (standing),3,14,12,
28.03.22,15:59:54,Dumbbell Lateral Raise (standing),1,5,12,
28.03.22,15:59:55,Dumbbell Lateral Raise (standing),2,5,12,
28.03.22,15:59:56,Dumbbell Lateral Raise (standing),3,5,12,
27.03.22,15:55:20,Pull-ups| Overhand Medium Grip,1,0,6,
27.03.22,15:55:21,Pull-ups| Overhand Medium Grip,2,0,5,
27.03.22,15:55:22,Pull-ups| Overhand Medium Grip,3,0,4,
27.03.22,15:55:23,Pull-ups| Overhand Medium Grip,4,0,3,
27.03.22,15:55:24,Pull-ups| Overhand Medium Grip,5,0,3,
27.03.22,15:55:25,Pulley Machine Row (seated),1,32,15,
27.03.22,15:55:26,Pulley Machine Row (seated),2,32,12,
27.03.22,15:55:27,Pulley Machine Row (seated),3,32,13,
27.03.22,15:55:28,Pulley Machine Lats Pullover (standing),1,14,12,"1 second up, 1 second down"
27.03.22,15:55:29,Pulley Machine Lats Pullover (standing),2,18,12,
27.03.22,15:55:30,Pulley Machine Lats Pullover (standing),3,14,12,
27.03.22,15:55:31,Reverse Machine Flys (seated),1,32,12,
27.03.22,15:55:32,Reverse Machine Flys (seated),2,25,12,
27.03.22,15:55:33,Reverse Machine Flys (seated),3,25,12,
27.03.22,15:55:34,Scott Machine Biceps Curl (seated),1,23,12,
27.03.22,15:55:35,Scott Machine Biceps Curl (seated),2,23,12,
27.03.22,15:55:36,Scott Machine Biceps Curl (seated),3,18,10,
26.03.22,14:43:19,Barbell Flat Bench Press,1,20,12,"Short pause on chest.

Add 1 set each week, until 5 sets. When 5 sets, increase weight by 2.5kgs and go back to 3 sets. Repeat."
26.03.22,14:43:20,Barbell Flat Bench Press,2,30,8,
26.03.22,14:43:21,Barbell Flat Bench Press,3,40,8,
26.03.22,14:43:22,Barbell Flat Bench Press,4,45,8,
26.03.22,14:43:23,Barbell Flat Bench Press,5,45,8,
26.03.22,14:43:24,Barbell Flat Bench Press,6,45,8,
26.03.22,14:43:25,Barbell Shoulder Press (standing),1,20,12,
26.03.22,14:43:26,Barbell Shoulder Press (standing),2,20,10,
26.03.22,14:43:27,Barbell Shoulder Press (standing),3,20,10,
26.03.22,14:43:28,Supported Machine Dips,1,32,5,
